Year,Quarter,Year-on-year growth rate,Seasonally adjusted quarter-to-quarter growth rate
2000,Q1,10.7,3
2000,Q2,7.4,0.1
2000,Q3,7.2,1.2
2000,Q4,5.7,0.7
2001,Q1,2,-0.3
2001,Q2,1.1,-0.1
2001,Q3,0.1,-0.1
2001,Q4,-0.8,-0.6
2002,Q1,-0.6,0.1
2002,Q2,0.5,1.5
2002,Q3,2.4,1.6
2002,Q4,4.1,0.7
2003,Q1,3.9,-0.1
2003,Q2,-0.6,-2.4
2003,Q3,4,6.1
2003,Q4,4.7,1.1
2004,Q1,7.9,2.9
2004,Q2,12.1,1.8
2004,Q3,6.9,1.1
2004,Q4,8.2,2
2005,Q1,6.4,1.1
2005,Q2,7.3,3.1
2005,Q3,8.3,1.9
2005,Q4,7.4,1.2
2006,Q1,9,2.2
2006,Q2,6.1,1
2006,Q3,6.4,1.8
2006,Q4,6.8,1.6
2007,Q1,5.9,1.4
2007,Q2,6.2,1.6
2007,Q3,6.7,1.9
2007,Q4,7,1.8
2008,Q1,7,1.4
2008,Q2,4,-1.2
2008,Q3,0.9,-1.1
2008,Q4,-2.7,-2
2009,Q1,-7.8,-3.4
2009,Q2,-3.1,3.6
2009,Q3,-1.7,0.5
2009,Q4,2.5,2
2010,Q1,7.9,1.9
2010,Q2,6.4,1.7
2010,Q3,6.5,0.9
2010,Q4,6.3,1.6
2011,Q1,7.6,2.7
2011,Q2,5.1,-0.4
2011,Q3,3.9,0.2
2011,Q4,3,0.5
2012,Q1,0.8,0.2
2012,Q2,1,0.6
2012,Q3,1.8,0.8
2012,Q4,3.1,1.1
2013,Q1,3.4,0.8
2013,Q2,3.1,0.4
2013,Q3,3.1,0.6
2013,Q4,2.9,0.9
2014,Q1,3,0.9
2014,Q2,2.2,-0.2
2014,Q3,3.2,1.5
2014,Q4,2.6,0.4
2015,Q1,2.4,0.6
2015,Q2,3.1,0.6
2015,Q3,2.3,0.5
2015,Q4,1.9,0.1
2016,Q1,1.1,-0.1
2016,Q2,1.8,1.3
2016,Q3,2.3,1
2016,Q4,3.4,1.2
2017,Q1,4.4,0.8
2017,Q2,4,0.8
2017,Q3,3.6,0.8
2017,Q4,3.5,1.1
2018,Q1,4.6,1.9
2018,Q2,3.6,-0.3
2018,Q3,2.8,0.1
2018,Q4,1.2,-0.5
2019,Q1,0.6,1.3
2019,Q2,0.4,-0.5
2019,Q3,-2.9,-3.2
