Year,Quarter,Overall,"Building and 
construction","Machinery, equipment and 
intellectual property products"
2000,Q1,1.6,-15.2,30.9
2000,Q2,2.3,-14.6,21.6
2000,Q3,13.8,-1.2,28.3
2000,Q4,13.8,1.2,25.7
2001,Q1,9.9,-1.4,22.6
2001,Q2,2.9,3,2.4
2001,Q3,3.2,-5.5,9.7
2001,Q4,-4.2,-0.1,-6.5
2002,Q1,-11.3,-5.2,-16.8
2002,Q2,-0.5,4.5,-4.6
2002,Q3,-4,4.6,-8.9
2002,Q4,0.5,-8.1,6.9
2003,Q1,5.4,-1.6,13.1
2003,Q2,-4,-7.1,0
2003,Q3,1.4,-4.5,6.7
2003,Q4,3.4,-8.7,11.6
2004,Q1,4.6,-12,15.4
2004,Q2,9.8,-13,24.1
2004,Q3,1.1,-14.5,10.9
2004,Q4,-1.3,-2.9,-1.8
2005,Q1,2.3,-1.8,4.6
2005,Q2,5.3,-9.7,13.1
2005,Q3,2.5,-5.9,7.7
2005,Q4,6,-13.1,23
2006,Q1,6.7,-11.4,24.2
2006,Q2,4.1,-2.8,12.8
2006,Q3,10,-9.9,22.7
2006,Q4,7.4,-3.4,14
2007,Q1,0.1,-3.5,0
2007,Q2,6.1,5.6,5.5
2007,Q3,-1.2,-1.2,-3.1
2007,Q4,7.7,-1.6,7.8
2008,Q1,12,14.2,5.2
2008,Q2,6.7,3,8.1
2008,Q3,4.5,2.1,10.2
2008,Q4,-15.7,7.6,-21.1
2009,Q1,-12,-10.1,-4.5
2009,Q2,-12.5,-6.8,-14.8
2009,Q3,1.7,1.1,-1.9
2009,Q4,11.1,-5.3,15.6
2010,Q1,8,-7.4,11.1
2010,Q2,15.3,12.3,15.7
2010,Q3,0.1,8.2,-5.1
2010,Q4,8.3,10.1,6.8
2011,Q1,5,27.2,-8.9
2011,Q2,9.2,3.2,15.5
2011,Q3,13.5,14.2,22.7
2011,Q4,12.8,19.6,18.6
2012,Q1,9.9,9.5,20.3
2012,Q2,3.9,8.6,5.7
2012,Q3,5.2,2,9.3
2012,Q4,8.5,8.9,8
2013,Q1,-4.3,-4.3,-4.9
2013,Q2,7.1,-4.5,20.9
2013,Q3,1.8,-0.8,8.3
2013,Q4,5,-7,18.4
2014,Q1,5.1,14.8,-3.7
2014,Q2,-6.1,4.2,-12.9
2014,Q3,-2.5,7.9,-15.4
2014,Q4,3.7,9.9,-1.5
2015,Q1,4.5,-4.6,8.6
2015,Q2,3,13.7,-6.3
2015,Q3,-7.3,3.1,-12.2
2015,Q4,-10.9,-1.4,-15.6
2016,Q1,-7.7,4.1,-11.8
2016,Q2,-5.7,3.9,-13.4
2016,Q3,7.1,4.8,6.9
2016,Q4,5.9,10.4,-6.5
2017,Q1,5.4,5.6,-6.4
2017,Q2,6.8,-0.2,7.7
2017,Q3,-2.7,-2.7,0.2
2017,Q4,2.7,-4.4,11.6
2018,Q1,4.7,2.2,5.5
2018,Q2,1.9,-0.9,4.2
2018,Q3,8.6,1.3,21
2018,Q4,-5.8,-4.9,4.7
2019,Q1,-7,-3.5,-1.7
2019,Q2,-10.8,-9.3,-12.1
2019,Q3,-16.3,-5.7,-26.6
